jobTitle,companyName,salary_cleaned,pubDate,region,category,seniority
Senior Full-Stack Engineer,Public,169830.0,2025-03-25 02:50:43,North America,Engineering,Senior
Senior Software Engineer,KnowBe4,15314.9,2025-03-24 20:51:07,Europe,Engineering,Senior
Senior Software Engineer,Partnerize,15314.9,2025-03-24 06:50:11,Europe,Engineering,Senior
"Senior Software Engineer, Data Infrastructure",Ro,193300.0,2025-03-24 04:50:18,North America,Engineering,Senior
Machine Learning Implementation Engineer,OfferFit,67.73333333333333,2025-03-21 04:50:42,Remote,Data,Other
Senior Data Scientist,The Internet of Behaviors Company,67.73333333333333,2025-03-20 04:50:55,Africa,Data,Senior
"Senior Software Engineer, Registry",Wandb,169830.0,2025-03-19 16:50:54,North America,Engineering,Senior
Fullstack Software Engineer - User Experience,Rithum,67.73333333333333,2025-03-18 16:50:58,Europe,Engineering,Other
Full Stack Engineer,Penbrothers,6003.833333333334,2025-03-18 08:50:48,Asia,Engineering,Other
Junior Data Engineer,Growe,51290.08333333333,2025-03-16 16:50:14,Other,Data,Junior
Identity Infrastructure Engineer,Techholding,71.08333333333334,2025-03-15 20:50:50,Latam,Engineering,Other
Senior Software Engineer,"Clarity Financial, Inc.",168250.0,2025-03-15 14:51:06,North America,Engineering,Senior
Staff Engineer/Senior Technical Lead,Space Inch,4600.0,2025-03-15 00:50:59,Europe,Other,Senior
Senior Machine Learning Engineer II,Apollo.io,67.73333333333333,2025-03-14 00:50:46,Asia,Data,Senior
Senior Data Scientist,Vantage Analytics,89450.15,2025-03-12 06:50:48,North America,Data,Senior
"Member of Technical Staff, Training Infra Engineer",Cohere,67.73333333333333,2025-03-11 20:50:33,Remote,Data,Other
Senior Software Engineer,Place Exchange,71668.65,2025-03-11 04:50:12,North America,Engineering,Senior
Software Engineer II,Fearless,151849.0,2025-03-10 22:50:37,North America,Engineering,Other
Back End Developer,Game Plan Tech,169830.0,2025-03-09 20:50:50,North America,Engineering,Other
Data Engineer,Mitiga Solutions,49051.23333333334,2025-03-09 00:51:02,Europe,Data,Other
Software Developer,Hive.co,89450.15,2025-03-08 20:50:16,North America,Engineering,Other
Senior Biostatistician / Data Scientist,PicnicHealth,165.0,2025-03-07 18:50:57,North America,Data,Senior
Data Scientist,Thalamusgme,230000.0,2025-03-05 18:50:08,North America,Data,Other
Senior Software Engineer,Augment,168250.0,2025-03-05 16:50:52,North America,Engineering,Senior
Prompt Engineer,Forhyre,112500.0,2025-03-04 16:50:46,North America,Engineering,Other
Data Integrations Engineer,Timely,16550.440666666665,2025-02-27 12:50:09,North America,Data,Other
Staff Data Platform Engineer,ClassDojo,192250.0,2025-02-27 10:50:50,Other,Data,Other
Senior Data Engineer,Opendoor,67.73333333333333,2025-02-26 00:50:53,Asia,Data,Senior
Senior Localization Engineer,Lilt,67.73333333333333,2025-02-22 20:50:16,Remote,Engineering,Senior
Sr. Software Engineer - React Native and Front End,Parkade,169830.0,2025-02-19 22:50:44,North America,Engineering,Senior
